published,published_year_long,published_year_short,country,designer,name,product_id
2020/11/01,2020,20,France,PetiteKnit,Puffy Pouf Hat,659657
2021/05/01,2021,21,France,Stephen West,Seleste Tee,699225
2021/06/01,2021,21,France,Stephen West,Silver River Shawl,758536
2021/09/01,2021,21,France,Andrea Mowry,Aphra,725486
2021/11/01,2021,21,France,PetiteKnit,DAA (don't ask again),738809
2022/01/01,2022,22,France,PetiteKnit,Gr8 Gingham Hat,754248
2022/04/01,2022,22,France,Caitlin Hunter,Foxberry tee,772973
2022/06/01,2022,22,France,Stephen West,Ariel socks,782717
2022/07/01,2022,22,France,Andrea Mowry,Peregrin socks,788846
2022/08/01,2022,22,France,Joji Locatelli,Storsand socks,794553
2022/11/01,2022,22,France,Andrea Mowry,Crystal Fantasy,815364
2022/11/01,2022,22,France,Andrea Mowry,Medley Mitts,821246
2022/11/01,2022,22,France,Andrea Mowry,Medley Hat,821245
2022/11/01,2022,22,France,Andrea Mowry,Ripple Balaclava,818026
2022/11/01,2022,22,France,PetiteKnit,Collage Socks,821241
2022/11/01,2022,22,France,Helen Stewart,Amos balaclava,820639
2022/12/01,2022,22,France,Andrea Mowry,Levi pullover,822049
2022/12/01,2022,22,France,Andrea Mowry,Painting Bricks Mittens,822986
2020/11/01,2020,20,France,Andrea Mowry,Sparks,653563
2021/06/01,2021,21,France,PetiteKnit,Midsummer Dancer Socks,704131
2021/09/01,2021,21,France,Caitlin Hunter,cardoon,720300
2021/11/01,2021,21,France,Joji Locatelli,Montage Hat,742554
2022/01/01,2022,22,France,Joji Locatelli,Foxberry,754335
2022/05/01,2022,22,France,PetiteKnit,Poetry pullover,780221
2022/06/01,2022,22,France,Andrea Mowry,The Feel Good Shawl,785339
2022/09/01,2022,22,France,Andrea Mowry,August hat (me),803893
2022/11/01,2022,22,France,Andrea Mowry,Sveaborg Hat,817517
2022/11/01,2022,22,France,PetiteKnit,Kuutar cardigan,820632
2022/11/01,2022,22,France,Jennifer Steingass,Ilya,821295
2019/02/01,2019,19,France,PetiteKnit,Vertices Unite Baby Blanket,513061
2020/09/01,2020,20,France,PetiteKnit,Everyday Socks,640851
2021/06/01,2021,21,France,Andrea Mowry,Cumulus Top,706686
2021/07/01,2021,21,France,Andrea Mowry,miMa,711241
2021/10/01,2021,21,France,PetiteKnit,Penny Gloves,729754
2021/10/01,2021,21,France,Caitlin Hunter,Luminen,730305
2021/11/01,2021,21,France,Jessie Maed Designs,Rose Cottage Cowl,742553
2021/12/01,2021,21,France,Andrea Mowry,Norwood,742351
2021/12/01,2021,21,France,Isabell Kraemer,Harlow Worsted,743310
2022/05/01,2022,22,France,Jessie Maed Designs,Garter Abyss,778604
2022/05/01,2022,22,France,Stephen West,Stria Hat,779815
2022/07/01,2022,22,France,Andrea Mowry,Outline Raglan,796318
2022/11/01,2022,22,France,Isabell Kraemer,Oddments Cowl,821247
2022/11/01,2022,22,France,Stephen West,Lucia socks,821056
2022/12/01,2022,22,France,PetiteKnit,Briogarter Sweater,821849
2021/03/01,2021,21,France,Andrea Mowry,Wild Bees Socks,722789
2021/04/01,2021,21,France,Isabell Kraemer,So Summer Shirt,688612
2021/04/01,2021,21,France,Isabell Kraemer,Forsythian,689512
2021/04/01,2021,21,France,Joji Locatelli,Lumme,693076
2021/06/01,2021,21,France,Caitlin Hunter,Lavender Fields Socks,722724
2021/07/01,2021,21,France,PetiteKnit,Diggory Venn,709032
2021/12/01,2021,21,France,Helen Stewart,Marble Sweater,745022
2021/12/01,2021,21,France,Andrea Mowry,Halibut Cowl,745137
2022/01/01,2022,22,France,Isabell Kraemer,Tsov,752803
2022/04/01,2022,22,France,Stephen West,Ayami,772513
2022/05/01,2022,22,France,Stephen West,Rosenlund socks,776766
2022/05/01,2022,22,France,Andrea Mowry,Crystal Fragments Shawl,780995
2022/06/01,2022,22,France,Sari Nordlund,Trickling Triangle,822988
2022/12/01,2022,22,France,Isabell Kraemer,December Bow,821812
2022/12/01,2022,22,France,Helen Stewart,Zig,822953
2019/12/01,2019,19,France,Caitlin Hunter,Midnight Dancer,578067
2021/03/01,2021,21,France,Andrea Mowry,Picnic Blanket Socks,681991
2021/05/01,2021,21,France,Jessie Maed Designs,Spinifex Socks,722788
2021/06/01,2021,21,France,Jennifer Steingass,The Bubble Cardigan,705438
2021/07/01,2021,21,France,Jessie Maed Designs,Scribbly Gum Socks,722728
2021/07/01,2021,21,France,PetiteKnit,Kuutar Tee,711243
2021/12/01,2021,21,France,PetiteKnit,The Collective Shawl,742386
2022/01/01,2022,22,France,Helen Stewart,The Winter Crop,746019
2022/05/01,2022,22,France,Andrea Mowry,Gib I,778571
2022/09/01,2022,22,France,Andrea Mowry,koivua light,802299
2022/10/01,2022,22,France,Jessie Maed Designs,Malibu,810716
2018/09/01,2018,18,France,Andrea Mowry,Ripple Crop Top,480883
2019/12/01,2019,19,France,Joji Locatelli,Flores Socks,577365
2021/08/01,2021,21,France,Stephen West,Change your Mind (Beanie),719633
2021/12/01,2021,21,France,PetiteKnit,Spiraling Cables Triangle,734279
2021/11/01,2021,21,France,Jessie Maed Designs,Jenny Sweater,739270
2022/02/01,2022,22,France,PetiteKnit,Metamorphic,757113
2022/05/01,2022,22,France,PetiteKnit,Gib II,778570
2022/06/01,2022,22,France,Sari Nordlund,Ripple Halter,784508
2022/06/01,2022,22,France,Andrea Mowry,Rosenlund top,785775
2022/07/01,2022,22,France,PetiteKnit,Kuutar Top,789883
2022/08/01,2022,22,France,PetiteKnit,Jigsaw Puzzle Blanket,796458
2022/09/01,2022,22,France,PetiteKnit,Simply Curious Shawl,804787
2022/11/01,2022,22,France,Stephen West,B(l)ack to Life,816604
2022/11/01,2022,22,France,Stephen West,Bear Paw Socks,817274
2020/07/01,2020,20,France,Isabell Kraemer,Dreaming of Paris,623864
2020/10/01,2020,20,France,Andrea Mowry,Ruffle Socks,649310
2020/12/01,2020,20,France,Caitlin Hunter,Honey Striped Hat,661267
2020/12/01,2020,20,France,Jessie Maed Designs,Snedronningen,662850
2021/04/01,2021,21,France,PetiteKnit,Linen Summer Shawl,690429
2021/04/01,2021,21,France,Andrea Mowry,Nasrin,691689
2021/07/01,2021,21,France,Caitlin Hunter,As Friends Tank,709192
2021/08/01,2021,21,France,Andrea Mowry,Some Me Time (Shawl),719636
2022/04/01,2022,22,France,Andrea Mowry,Inclinations Cowl,775474
2022/05/01,2022,22,France,Joji Locatelli,Ingrid Slipover,777204
2022/07/01,2022,22,France,Caitlin Hunter,Monday Sweater Junior,793552
2022/10/01,2022,22,France,PetiteKnit,Follow Your Path Hat,814643
2020/11/01,2020,20,France,Helen Stewart,Painting Waves Shawl,654978
2020/11/01,2020,20,France,PetiteKnit,Blurry Cowl,656547
2021/02/01,2021,21,France,Sari Nordlund,Flutter Buttshirt,680413
2021/06/01,2021,21,France,Isabell Kraemer,Dingley Dell,702060
2021/07/01,2021,21,France,PetiteKnit,Sunkissed Top,707348
2021/11/01,2021,21,France,Stephen West,DRK Everyday Sweater,736283
2021/12/01,2021,21,France,PetiteKnit,Halibut Hat,745133
2022/01/01,2022,22,France,Jessie Maed Designs,Velvet Mirror Cowl,751909
2022/05/01,2022,22,France,Stephen West,Manarola,780498
2022/05/01,2022,22,France,Joji Locatelli,Ingrid Sweater Junior,781373
2022/06/01,2022,22,France,Andrea Mowry,June Top,787172
2022/08/01,2022,22,France,Jessie Maed Designs,Monday Sweater,795863
2022/09/01,2022,22,France,Helen Stewart,Venia,802982
2022/09/01,2022,22,France,Isabell Kraemer,Dustland Socks,804658
2017/11/01,2017,17,France,Isabell Kraemer,Tincture,427100
2019/03/01,2019,19,France,Stephen West,Iris hat,520266
2020/04/01,2020,20,France,PetiteKnit,Ripple Bralette DK,602885
2020/04/01,2020,20,France,Isabell Kraemer,Starflanket,603288
2020/10/01,2020,20,France,PetiteKnit,Sparky,646497
2021/01/01,2021,21,France,Isabell Kraemer,Painting Honeycombs Shawl - Small Honeycombs,669691
2021/02/01,2021,21,France,PetiteKnit,Seve,674251
2021/06/01,2021,21,France,Caitlin Hunter,Weekend Slipover,703204
2021/10/01,2021,21,France,Helen Stewart,Sunday Balaclava,732722
2022/03/01,2022,22,France,Caitlin Hunter,Oksa,764725
2022/07/01,2022,22,France,Joji Locatelli,Alpenglow I,793713
2022/08/01,2022,22,France,Joji Locatelli,Rain or Shine Socks,797798
2022/08/01,2022,22,France,Andrea Mowry,The Lone Skein Shawl,798891
2022/11/01,2022,22,France,Andrea Mowry,Tiree,821266
2019/10/01,2019,19,France,Stephen West,Ripple Camisole,563065
2020/09/01,2020,20,France,PetiteKnit,Junction,637821
2021/02/01,2021,21,France,Isabell Kraemer,Painting Honeycombs Blanket,675574
2021/07/01,2021,21,France,Andrea Mowry,Festival Sweater,709733
2021/10/01,2021,21,France,Stephen West,Hello From My Colors Crop,726054
2021/10/01,2021,21,France,PetiteKnit,Vaike,729942
2021/10/01,2021,21,France,Helen Stewart,Stria,731093
2021/11/01,2021,21,France,PetiteKnit,Curio Socks,738062
2022/01/01,2022,22,France,Isabell Kraemer,forager lite,749930
2022/05/01,2022,22,France,PetiteKnit,Striped Vortex,816368
2022/03/01,2022,22,France,Joji Locatelli,Attune Shawl,769166
2022/12/01,2022,22,France,Andrea Mowry,Arco Iris,821855
2019/11/01,2019,19,France,PetiteKnit,Seaside Sweater,571596
2019/12/01,2019,19,France,Stephen West,Monday Suit,576127
